Name,SMILES,Properties,Molecular Weight,LogP,Hydrogen Donors,Hydrogen Acceptors,Therapeutic Class,Chemical Structure Type,Origin,Half-Life,Metabolism,Protein Binding
"Xovivast","CC1=NC2=C(C(=C1)NC(=O)C3CCCO3)NC(=O)N2CC4=NC5=C(C=C4)S5","Antifungal","385.47","3.89","2","6","Azole Antifungal","Imidazole Derivative","Synthetic","9-11 hours","Liver","91%"
"Yuziton","CCN1C(=O)C2=C(C=C(C=C2)NC(=O)CC3=NC4=C(C=C3)S4)N(C1=O)CC","Antiviral","385.47","4.01","1","6","Protease Inhibitor","Benzodiazepine Derivative","Synthetic","7-10 hours","Liver","89%"
"Zivaltax","CC1CCN(CC1)C(=O)C2=CC(=C(C=C2)OCC3=NC4=C(C=C3)S4)OC","Cholesterol Medication","405.50","4.34","1","6","Lipid Lowering","Piperidine Derivative","Synthetic","11-14 hours","Liver","95%"
"Abriton","COC1=CC=C(C=C1)C(=O)NC2CCN(CC2)C3=NC4=C(C=C3)S(=N4)CC5=CC=CC=C5","Analgesic","435.53","4.56","1","6","Pain Reliever","Thiazole Derivative","Synthetic","6-8 hours","Liver","93%"
"Amiodarone","CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I","Antiarrhythmic","645.31","7.57","1","4","Antiarrhythmic","Benzofuran Derivative","Synthetic","15-142 days","Liver",">96%"
"Atenolol","CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O","Beta Blocker","266.34","0.16","3","4","Cardiovascular","Aryloxypropanolamine","Synthetic","6-7 hours","Minimal","5%"
"Busulfan","CS(=O)(=O)OCCCCOS(=O)(=O)C","Anticancer","246.30","0.04","0","6","Alkylating Agent","Sulfonate","Synthetic","2-3 hours","Liver","32%"
"Caffeine","CN1C=NC2=C1C(=O)N(C(=O)N2C)C","Stimulant","194.19","0.01","0","4","Central Nervous System Stimulant","Xanthine","Synthetic","5 hours","Liver","36%"
"Carbamazepine","c1ccc2c(c1)[nH]c(c(c3ccccc23)C(=O)N)=N","Anticonvulsant","236.27","2.45","1","2","Antiepileptic","Dibenzazepine","Synthetic","25-65 hours","Liver","76%"
"Chlorpheniramine","c1cc(c(c(c1)Cl)C(CN(C)C)CC2=CC=CC=N2)Cl","Antihistamine","274.79","3.38","1","2","First-Generation Antihistamine","Pyridine Derivative","Synthetic","24 hours","Liver","72%"
"Cimetidine","CC1=C(N=CN1)CSCCNC(=NC)NC#N","Acid Reducer","252.34","0.40","2","5","H2 Receptor Antagonist","Imidazole Derivative","Synthetic","2 hours","Liver","15-20%"
"Codeine","CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O","Pain Medication","299.36","1.19","1","4","Opioid Analgesic","Morphinan","Natural/Synthetic","2-4 hours","Liver","7-25%"
"Cyclobenzaprine","CN(C)CCC=C1c2ccccc2C(c3ccccc13)=N","Muscle Relaxant","275.39","5.20","0","2","Muscle Relaxant","Dibenzocycloheptene","Synthetic","18 hours","Liver","93%"
"Diclofenac","c1cc(c(c(c1)Cl)Cl)NC2=C(CC(=O)O)C=CC=C2","Anti-inflammatory","296.15","4.51","1","3","NSAID","Phenylacetic Acid Derivative","Synthetic","1-2 hours","Liver","99%"
"Diphenhydramine","CN(C)CCOC(c1ccccc1)c2ccccc2","Antihistamine","255.36","3.27","1","3","First-Generation Antihistamine","Diphenylmethane","Synthetic","9 hours","Liver","78-82%"
"Erythromycin","CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@@H]([C@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)O)C)O)(C)O","Antibiotic","733.93","3.06","5","14","Macrolide Antibiotic","Macrolide","Natural","1-1.5 hours","Liver","65%"
"Flecainide","c1cc(c(c(c1)OCc2c(c(c(c(c2F)F)F)F)F)NC(=O)CCN3CCCCC3)OCc4c(c(c(c(c4F)F)F)F)F","Antiarrhythmic","414.34","3.19","1","4","Antiarrhythmic","Piperidine Derivative","Synthetic","20 hours","Liver","40%"
"Fluoxetine","CNCCC(c1ccccc1)Oc2ccc(cc2)C(F)(F)F","Antidepressant","309.33","4.05","1","2","SSRI Antidepressant","Phenylpropylamine","Synthetic","1-4 days","Liver","94%"
"Gentamicin","CC[C@H]([C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](C(C2)(C)O)O)N)O)O)N)N","Antibiotic","477.60","-3.10","7","10","Aminoglycoside Antibiotic","Aminoglycoside","Natural","2-3 hours","Kidney","<10%"
"Glipizide","CC1=C(N=C(C=C1)NC(=O)NCC2=CC=C(C=C2)S(=O)(=O)NC3CCCCC3)C","Diabetes Medication","445.54","1.91","2","5","Antidiabetic","Sulfonylurea","Synthetic","2-5 hours","Liver","98%"
"Isoniazid","c1cc(c(cn1)C(=O)NN)N","Antitubercular","137.14","-0.70","2","3","Antimycobacterial","Pyridine Derivative","Synthetic","1-4 hours","Liver","<10%"
"Ketamine","c1cc(c(c(c1)Cl)C(=O)[C@@H](C)NC2CCCCC2)Cl","Anesthetic","237.73","2.18","1","2","General Anesthetic","Arylcyclohexylamine","Synthetic","2-3 hours","Liver","12%"
"Lidocaine","CCN(CC)C(=O)Nc1c(c(ccc1C)C)C","Local Anesthetic","234.34","2.44","1","2","Local Anesthetic","Amide","Synthetic","1.5-2 hours","Liver","60-70%"
"Meclizine","Cc1cccc(c1CN2CCN(CC2)c3ccc(c(c3)Cl)Cl)C","Antiemetic","390.95","5.50","0","2","Antihistamine","Piperazine Derivative","Synthetic","6 hours","Liver","N/A"
"Metronidazole","Cc1ncc(n(c1=O)CCO)[N+](=O)[O-]","Antibiotic","171.15","0.02","1","4","Antiprotozoal","Nitroimidazole","Synthetic","8 hours","Liver","10%"
"Morphine","CN1CC[C@]23c4c5c(c(c2[C@H]1C[C@@H]([C@@H]3O)O)O)ccc(c4)O[C@H]5","Pain Medication","285.34","0.89","2","4","Opioid Analgesic","Morphinan","Natural","2-3 hours","Liver","30-40%"
"Phenytoin","c1ccc(cc1)C2(C(=O)NC(=O)N2)c3ccccc3","Anticonvulsant","252.27","2.47","2","2","Antiepileptic","Hydantoin","Synthetic","22 hours","Liver","90%"
"Prednisolone","C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@H]3[C@H](C[C@@]2([C@H]1O)C)O)C","Anti-inflammatory","360.44","1.62","3","5","Corticosteroid","Steroid","Synthetic","2-4 hours","Liver","70-90%"
"Rifampin","CC1C=CC=C(C(=O)NC2=C(C(=C3C(=C(C(=C(C3=C(O)O2)C)O)[C@H]4[C@@H]([C@@H]([C@H](C(O4)C)O)O)O)OC)C)C=NN5CCN(CC5)C)C(=O)O1","Antitubercular","822.94","4.84","6","13","Antimycobacterial","Rifamycin","Natural","3-5 hours","Liver","80%"
"Theophylline","Cn1c2c(c(c1=O)N)N(C(=O)N(C2=O)C)C","Bronchodilator","180.16","-0.02","1","4","Bronchodilator","Xanthine","Synthetic","8 hours","Liver","40%"
"Chlorpromazine","c1cc2c(c(c1)Cl)Sc3cc(ccc3N2CCCN(C)C)","Antipsychotic","318.86","5.41","0","2","Typical Antipsychotic","Phenothiazine","Synthetic","30 hours","Liver","95-98%"
"Citalopram","CN(C)CCC[C@@]1(c2cc(c(cc2)OCCc3c(c(c(c(c3)F)O)O)O)CC1)C#N","Antidepressant","324.39","3.76","1","3","SSRI Antidepressant","Phthalane Derivative","Synthetic","35 hours","Liver","80%"
"Clindamycin","CC[C@H]1C[C@H]([C@@H]([C@H](O[C@H]1S[C@@H]2[C@H]([C@@H](C[C@@H](C2)O)O)NC(=O)[C@@H](C)Cl)O)O)N(C)C","Antibiotic","424.98","2.16","4","7","Lincosamide Antibiotic","Lincosamide","Natural/Synthetic","2-3 hours","Liver","10%"
"Cyclosporine","CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C/C=C/C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC1=O)C(C)C","Immunosuppressant","1202.61","2.92","5","12","Calcineurin Inhibitor","Cyclic Peptide","Natural","5-18 hours","Liver","90%"
"Ethambutol","CC[C@H](CO)NCCN[C@@H](CC)CO","Antitubercular","204.31","0.12","4","4","Antimycobacterial","Ethylenediamine Derivative","Synthetic","3-4 hours","Liver","10-30%"
"Glyburide","COc1ccc(c(c1)Cl)CC2C(=O)NC(=O)N(C2=O)CCc3ccc(cc3)S(=O)(=O)NC(=O)Nc4ccccc4","Diabetes Medication","494.00","3.50","2","6","Antidiabetic","Sulfonylurea","Synthetic","10 hours","Liver","99%"
"Haloperidol","c1cc(c(c(c1)Cl)C(=O)CCCN2CCC(CC2)(c3ccccc3)O)F","Antipsychotic","375.86","4.30","1","3","Typical Antipsychotic","Butyrophenone","Synthetic","14-26 hours","Liver","90%"
"Indomethacin","Cc1c(c2c(c(c1)OC)cccc2)C(=O)N(CC(=O)O)c3ccc(c(c3)Cl)O","Anti-inflammatory","357.79","4.27","1","4","NSAID","Indole Derivative","Synthetic","4.5 hours","Liver","90%"
"Isoniazid","c1cc(c(cn1)C(=O)NN)N","Antitubercular","137.14","-0.70","2","3","Antimycobacterial","Pyridine Derivative","Synthetic","1-4 hours","Liver","<10%"
"Lithium","[Li+]","Mood Stabilizer","6.94","N/A","0","0","Mood Stabilizer","Ion","Natural","24 hours","Kidney","0%"
"Mebendazole","COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3ccccc3","Anthelmintic","295.29","3.00","1","4","Anthelmintic","Benzimidazole","Synthetic","3-6 hours","Liver","95%"
"Methyldopa","C[C@@H](c1ccc(c(c1)O)O)(C(=O)O)N","Antihypertensive","211.22","0.21","3","4","Antihypertensive","Catecholamine Derivative","Synthetic","2 hours","Liver","15%"
"Neomycin","C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)N)O[C@@H]3[C@@H]([C@H]([C@@H](C(O3)CN)O)O)N)O)N","Antibiotic","614.64","-4.00","10","13","Aminoglycoside Antibiotic","Aminoglycoside","Natural","2-3 hours","Kidney","<10%"
"Phenobarbital","CCC1(C(=O)NC(=O)NC1=O)c2ccccc2","Anticonvulsant","232.24","1.47","2","3","Antiepileptic","Barbiturate","Synthetic","79-120 hours","Liver","50%"
"Piroxicam","Cc1c(c(c2c(n1)cccc2)S(=O)(=O)N)C(=O)NO","Anti-inflammatory","331.35","3.06","1","5","NSAID","Oxicam","Synthetic","50 hours","Liver","99%"
"Primidone","CCC1(C(=O)NCNC1=O)c2ccccc2","Anticonvulsant","218.25","0.91","2","2","Antiepileptic","Pyrimidine Derivative","Synthetic","5-15 hours","Liver","20%"
"Procainamide","CCN(CC)C(=O)Nc1ccc(cc1)N","Antiarrhythmic","235.33","0.88","2","3","Antiarrhythmic","Amide","Synthetic","3-4 hours","Liver","15-20%"
"Pyrazinamide","c1cc(ncn1)C(=O)N","Antitubercular","123.11","-0.60","1","3","Antimycobacterial","Pyrazine Derivative","Synthetic","9-10 hours","Liver","10%"
"Streptomycin","C[C@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)N)O[C@@H]3[C@@H]([C@H]([C@H](C(O3)CO)O)NC(=N)N)O)CO)O)NC(=N)N)O","Antitubercular","581.57","-5.00","10","15","Aminoglycoside Antibiotic","Aminoglycoside","Natural","2-3 hours","Kidney","35%"
"Sulfasalazine","c1cc(c(c(c1)O)S(=O)(=O)Nc2ccc(c(c2)C(=O)O)N=Nc3ccccc3)O","Anti-inflammatory","398.39","2.88","2","7","Anti-inflammatory","Sulfonamide","Synthetic","5-10 hours","Liver","99%"
"Thiamine","Cc1c(sc[n+]1Cc2cnc(nc2N)C)CCO","Vitamin","265.35","0.00","2","4","Vitamin","Pyrimidine-Thiazole","Natural","1-2 hours","Liver","N/A"
"Trimethoprim","Cc1cc(c(c(c1OC)OC)OC)CNc2c(c(nc(n2)N)N)","Antibiotic","290.32","0.91","2","5","Antibacterial","Pyrimidine Derivative","Synthetic","8-10 hours","Liver","44%"
"Penicillin V","CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C","350.39","Antibiotic"
"Cholesterol","CC(C)CCCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C","386.65","Steroid"
"Testosterone","CC12CCC3C(C1CCC2O)CCC4=CC(=O)CCC34C","288.42","Hormone"
"Adrenaline","CNC[C@H](O)c1ccc(O)c(O)c1","183.20","Hormone"
"Cocaine","CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC","303.35","Stimulant"
"Nicotine","CN1CCCC1C2=CN=CC=C2","162.23","Stimulant"
"Serotonin","c1cc2c(c(c1)O)[nH]c(c2)CCN","176.22","Neurotransmitter"
"Dopamine","c1cc(c(cc1CCN)O)O","153.18","Neurotransmitter"
"Insulin (simplified)","CC[C@H](C)[C@@H]1NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc3c[nH]c4c3cccc4)NC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](Cc5c[nH]cn5)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](Cc7c[nH]c8c7cccc8)NC(=O)[C@H](CCCCN)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc9c[nH]cn9)NC(=O)[C@H](CO)NC(=O)[C@H](Cc10ccccc10)NC(=O)[C@H](Cc11c[nH]c12ccccc23)NC(=O)[C@@H]14SSCC(C(=O)N[C@@H](CC(C)C)C(=O)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc13ccccc13)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc14c[nH]c15ccccc25)NC(=O)[C@H](Cc15c[nH]cn15)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(=O)O)NC(=O)CNC(=O)[C@H](Cc15ccccc15)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc15c[nH]c16ccccc26)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](Cc15c[nH]cn15)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](Cc15ccccc15)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](Cc15c[nH]c16ccccc26)NC(=O)[C@H](CCCCN)NC(=O)CNC4","5777.54","Hormone"
"Vitamin C","C(C(C1C(=C(C(=O)O1)O)O)O)O","176.12","Vitamin"
"Vitamin D3","CC(C)CCC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CCC/C2=C/C=C3/C[C@H](CC[C@@H]3C)O)C","384.64","Vitamin"
"Water","O","18.02","Solvent"
"Sodium Chloride","[Na+].[Cl-]","58.44","Electrolyte"
"Acetic Acid","CC(=O)O","60.05","Acid"
"Sucrose","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","342.30","Sugar"
"Fructose","C(C(C(C(C(C(=O)CO)O)O)O)O","180.16","Sugar"
"Lactose","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O","342.30","Sugar"
"Hemoglobin (simplified heme)","C34H32FeN4O4","592.49","Protein Component"
"ATP","c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N","507.18","Energy Carrier"
"DNA (adenine nucleotide example)","c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N","347.22","Nucleic Acid"
"RNA (uracil nucleotide example)","c1cn(c(=O)[nH]c1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O","324.18","Nucleic Acid"
"Progesterone","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CCC3C2CCC4=CC(=O)CC[C@]34C)C","314.46","Hormone"
"Estrogen (Estradiol)","C[C@]12CC[C@@H]3c4ccc(cc4CC[C@H]3[C@@H]1CC[C@@H]2O)O","272.38","Hormone"
"Cortisone","C[C@]12CC(=O)[C@H]3[C@H]([C@@H]1CC[C@@]2(C(=O)CO)O)CCC4=CC(=O)CC[C@]34C","360.44","Hormone"
"Thyroxine","c1cc(c(c(c1)I)Oc2cc(c(c(c2)I)O)I)CC(N)C(=O)O","776.87","Hormone"
"Melatonin","CC(=O)NCCC1=c(c2c(c(c(c=c2)O)O1))N","232.28","Hormone"
"Histamine","c1c(ncn1)CCN","111.15","Neurotransmitter"
"GABA","C(CC(=O)O)CN","103.12","Neurotransmitter"
"Acetylcholine","CC(=O)OCC[N+](C)(C)C","146.21","Neurotransmitter"
"Oxytocin","CC[C@H](C)C1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CS[C@H]2[C@@H](C(=O)N[C@H](C(=O)N1)CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC2=O)CC(C)C)CC3=CC=C(C=C3)O)CC(=O)N)CC4=CC=CC=C4)CS","1007.19","Hormone"
"Vasopressin","c1cc(ccc1C[C@@H]2C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CS[C@H]3[C@@H](C(=O)N[C@H](C(=O)N2)CC(=O)N)NC(=O)[C@@H](NC(=O)[C@@H](NC3=O)CCCN)CC4=CC=CC=C4)CC(=O)N)CC5=CC=CC=C5)CC(=O)O)O","1056.22","Hormone"
"Penicillin G","CC1(C(N2C(S1)C(C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C","334.39","Antibiotic"
"Tetracycline","CC1(C2CC3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O","444.43","Antibiotic"
"Chlorophyll a","CCc1c(c(c2n3c1C=C4C(=C(C5=N4[Mg]67N2C(=C5C=C8N6C(=C(C3=C7)C(=O)C)C=C(C8(C)C)CCC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C)CCC(=O)O)C(=C9C(=O)C(C9)O)C)C)C","893.49","Pigment"
"Carotene","CC(=CC=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=CC=C(C)C=C(C)C=CC=C(C)C)C","536.87","Pigment"
"Salicylic Acid","c1ccc(c(c1)C(=O)O)O","138.12","Analgesic"
"Citric Acid","C(C(=O)O)C(CC(=O)O)(C(=O)O)O","192.12","Acid"
"Vanillin","c1cc(c(cc1)O)C(=O)C=O","152.15","Flavoring Agent"
"Curcumin","c1cc(c(cc1OC)CC(=O)C=Cc2ccc(c(c2)O)O)O","368.38","Natural Pigment"
"L-DOPA","c1cc(c(c(c1)O)O)[C@@H](CN)C(=O)O","197.19","Neurotransmitter Precursor"
"Resveratrol","c1cc(c(cc1)O)/C=C/c2cc(c(c(c2)O)O)O","228.24","Antioxidant"
"Artemisinin","CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C","282.34","Antimalarial"
"Glycine","C(C(=O)O)N","75.07","Amino Acid"
"Thymine","Cc1c(nc(=O)[nH]c(=O)1)O","126.11","Nucleobase"
"Capsaicin","CC(C)C=CCC(=O)NCCc1cc(c(c(c1)O)O)O","305.41","Analgesic"
"Limonene","CC1=CCC(CC1)C(=C)C","136.23","Terpene"
"Menthol","CC1CCC(C(C1)O)C(C)C","156.27","Cooling Agent"
"Theobromine","Cn1cnc2c1c(=O)[nH]c(=O)n2C","180.16","Stimulant"
"Pyruvate","CC(=O)C(=O)O","88.06","Metabolite"
"Ubiquinone (CoQ10)","CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C","863.34","Antioxidant"
"Folic Acid","c1cc(ccc1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N","441.40","Vitamin"
"Bilirubin","CC1=C(NC(=C1C=C2C(=C(C(=O)N2)C=C3C(=C(C(=O)N3)C)C=C)C)CC(=O)O)CC(=O)O","584.66","Metabolite"
"Retinol (Vitamin A)","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C","286.45","Vitamin"
"Heme","CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C2N6)C)C)C)C)C)CCC(=O)O)CCC(=O)O)Fe6","616.49","Porphyrin Derivative"
"Protoporphyrin IX","CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C2N6)C)C)C)C)C)CCC(=O)O)CCC(=O)O)C","562.66","Porphyrin Precursor"
"Chlorin","CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C2N6)C)C)C)C)C)CCC(=O)O)CCC(=O)O)H","558.67","Porphyrin Derivative"
"Metalloporphyrin (Zn)","CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C2N6)C)C)C)C)C)CCC(=O)O)CCC(=O)O)Zn6","624.98","Synthetic Porphyrin"
"Corrin","CC1=C2C3=N4C(C(C5=N6C(=C(C7=N8C(C(C1=N2)CC(N)C(C8CCC(=O)O)C)C(C7C)CC(=O)O)C(C5C)CC(=O)O)C(C4C)CCC(=O)O)C)C","527.58","Porphyrin Analog"
"Bacteriochlorophyll a","CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C2N6)C)CC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C)C)C)C)CCC(=O)O)Mg6","911.51","Photosynthetic Pigment"
"Porphyroxine","CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C2N6)C)C)C)C)C)CCC(=O)O)CCC(=O)O)O","578.66","Porphyrin Metabolite"
"Deuteroporphyrin IX","CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C2N6)C)C)C)C)C)CCC(=O)O)CCC(=O)O)H","510.58","Porphyrin Derivative"
"Mesoporphyrin IX","CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C2N6)C)C)C)C)C)CCC(=O)O)CCC(=O)O)CC","566.69","Porphyrin Derivative"
"Coproporphyrin I","CC1=C(C2=NC1=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C2N6)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O","654.71","Porphyrin Metabolite"
"Albuterol","CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O","Bronchodilator","239.31","0.11","3","4","Beta-2 Agonist","Phenylethanolamine","Synthetic","4-6 hours","Liver","10%"
"Baclofen","C1=CC(=C(C=C1)Cl)CC(C(=O)O)N","Muscle Relaxant","213.66","1.31","2","3","Muscle Relaxant","Gamma-Aminobutyric Acid Derivative","Synthetic","3-4 hours","Kidney","30%"
"Benzocaine","CCOC(=O)C1=CC=C(C=C1)N","Local Anesthetic","165.19","1.86","1","2","Local Anesthetic","Ester","Synthetic","N/A","Liver","5-10%"
"Bromocriptine","CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(C3CC)NC(=O)C4C5=C(C(=C(C=C5)Br)[N]C4)C6=CC=CC=C6)O","Parkinson's Medication","654.59","4.43","3","6","Dopamine Agonist","Ergoline","Natural/Synthetic","12-14 hours","Liver","93-96%"
"Carvedilol","CC(C)NCC(COC1=CC=CC2=C1C3=CC=CC=C3N2)O","Beta Blocker","406.47","3.42","2","4","Cardiovascular","Carbazole Derivative","Synthetic","7-10 hours","Liver","98%"
"Chlordiazepoxide","C1C2=C(C(=CC=C2)Cl)[N+](=C(N1)C3=CC=CC=C3)[O-]","Anti-Anxiety","299.75","2.44","1","3","Benzodiazepine","1,4-Benzodiazepine","Synthetic","5-30 hours","Liver","96%"
"Clarithromycin","CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@@H](C)[C@H](O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)[C@@](C)(O)C(=O)[C@H](C)[C@@H](O)[C@H]1C","Antibiotic","747.95","3.16","4","12","Macrolide Antibiotic","Macrolide","Natural/Synthetic","3-7 hours","Liver","42-70%"
"Clonidine","c1cc(c(c(c1)Cl)NC2=NCCN2)Cl","Antihypertensive","230.09","1.59","2","2","Alpha-2 Agonist","Imidazoline","Synthetic","12-16 hours","Liver","20-40%"
"Colchicine","CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)O","Gout Medication","399.44","1.67","2","5","Anti-inflammatory","Alkaloid","Natural","26 hours","Liver","39%"
"Cromolyn","C1=CC2=C(C(=C1)OCC(COC3=CC4=C(C=C3)C(=O)C=C(C4=O)O)O)C(=O)C=C(C2=O)O","Anti-Asthmatic","468.37","1.92","3","10","Mast Cell Stabilizer","Chromone","Synthetic","1.5-2 hours","Minimal","<1%"
"Dapsone","c1cc(ccc1N)S(=O)(=O)c2ccc(cc2)N","Antibacterial","248.30","0.97","2","4","Antileprotic","Sulfonamide","Synthetic","21-30 hours","Liver","70-90%"
"Desipramine","c1ccc2c(c1)[nH]c(c(c3ccccc23)CCCN(C)C)","Antidepressant","266.38","4.90","1","1","TCA Antidepressant","Dibenzazepine","Synthetic","12-54 hours","Liver","82%"
"Dexamethasone","CC1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@@]1(C(=O)CO)O)C)O)F)C","Anti-inflammatory","392.46","1.83","3","6","Corticosteroid","Steroid","Synthetic","36-54 hours","Liver","77%"
"Dicyclomine","CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2","Antispasmodic","309.49","3.65","0","3","Anticholinergic","Ester","Synthetic","1.8 hours","Liver","<1%"
"Disulfiram","CCN(CC)C(=S)SSC(=S)N(CC)CC","Alcohol Deterrent","296.54","3.88","0","2","Aldehyde Dehydrogenase Inhibitor","Disulfide","Synthetic","60-120 hours","Liver","80%"
"Dobutamine","CC(CC1=CC=C(C=C1)O)NCCC2=CC(=C(C=C2)O)O","Inotropic Agent","301.38","1.40","3","4","Cardiac Stimulant","Catecholamine","Synthetic","2 minutes","Liver","N/A"
"Doxepin","CN(C)CCC=C1c2ccccc2COc3c1cccc3","Antidepressant","279.38","4.29","0","2","TCA Antidepressant","Dibenzoxepin","Synthetic","15 hours","Liver","80-85%"
